city,hotel_name,score,description,latitude,longitude,temperature,humidity
La Rochelle,Best Western Premier Masqhotel,8.6,"The Best Western Masqhotel is a design hotel located a 5-minute walk from La Rochelle’s Vieux Port. It offers contemporary rooms, a lounge bar and free WiFi. ",46.15483672,-1.14505649,4,81
La Rochelle,Les EcoloGites de la Rochelle,8.2,Managed by a private host,46.1428736,-1.1454589,4,81
La Rochelle,La Suite,8.4,Managed by a private host,46.158813,-1.153734,4,81
La Rochelle,Central Park Hôtel & Spa,8.7,"The 4-star Central Park Hôtel & Spa is situated a 10-minute walk from the heart of La Rochelle, within walking distance from the beach, and next to the Old Harbour. ",46.15891333,-1.16082335,4,81
La Rochelle,5 appartements indépendants situés à mi-chemin entre le Vieux Port et le Pont de l île de Ré,7.9,"Set 2.8 km from L'Espace Encan and 3.3 km from Parc Expo de La Rochelle, Europe offers accommodation in La Rochelle. Europe features views of the sea and is 2.2 km from La Rochelle Grosse Cloche. ",46.16886397,-1.17459647,4,81
La Rochelle,Lagrange Apart'Hotel l’Escale Marine,7.3,"Located in La Rochelle, beside Port des Minimes, this residence offers a covered, heated pool and a well being centre. It is a 5-minute walk from the Aquarium and the Vieux Port. ",46.15107012,-1.15486329,4,81
La Rochelle,Maison des Ambassadeurs,8.6,"Nestled in the heart of La Rochelle and set in an 18th-century building, Maison des Ambassadeurs is just a 5-minute walk from the Old Harbour and offers a 24-hour front desk as well as a concierge...",46.16282553,-1.15110219,4,81
La Rochelle,Hôtel Le Rochelois,7.9,Hôtel Le Rochelois features a seasonal outdoor swimming pool and a tennis court. WiFi is free of charge throughout the property. ,46.15418175,-1.18243652,4,81
La Rochelle,Petite Roche,8.8,"Situated in La Rochelle, 1.4 km from Concurrence and 1 km from La Rochelle Train Station, Petite Roche features city views and free WiFi. ",46.1598788,-1.1464518,4,81
La Rochelle,La Rochelle sur L'eau,9.3,"La Rochelle sur L'eau features sea views, free WiFi and free private parking, located in La Rochelle, 800 metres from Minimes. ",46.14667561,-1.16817349,4,81
La Rochelle,Résidence Pierre & Vacances Centre,7.2,"Located in La Rochelle, this Pierre & Vacances residence is a 5-minute walk from the Old Harbour and 300 metres from the TGV Train Station. It has a heated indoor swimming pool and a terrace. ",46.15576943,-1.14639223,4,81
La Rochelle,ATHOME RESIDENCE ET SPA,8.2,"Situated in La Rochelle, ATHOME RESIDENCE ET SPA features free WiFi, and guests can enjoy a bar, a shared lounge and a garden. ",46.145995,-1.152398,4,81
La Rochelle,HÔTEL DE VILLE 2,8.0,"Offering free WiFi and city views, HÔTEL DE VILLE 2 is an accommodation set in a central area of La Rochelle, just 1.1 km from Concurrence and 1.1 km from La Rochelle Train Station. ",46.1601293,-1.152081,4,81
La Rochelle,Séjours & Affaires La Rochelle Les Minimes,7.5,"The Séjours & Affaires Les Minimes is located in La Rochelle, just a few steps from the harbour and only a 15-minute walk from the train station and the marina. ",46.14584493,-1.15611792,4,81
La Rochelle,Hôtel La Monnaie Art & Spa,8.6,"Ideally set in the historic La Rochelle, this 17th-century building overlooks the old harbour. Hôtel De La Monnaie is decorated by artworks and features a terrace and a wellness centre. ",46.1563008,-1.15810812,4,81
La Rochelle,Le Champlain,8.7,Le Champlain is located opposite Parc Charruyer in the heart of La Rochelle. It offers spacious air-conditioned rooms with flat-screen cable TV and free WiFi. ,46.16357605,-1.1541599,4,81
La Rochelle,Appart'City La Rochelle,7.2,This Appart'city is a 10-minute walk from La Rochelle Train Station and 15 minutes from the Old Port and the Old Town. It offers contemporary accommodation with a seating area and an LCD TV. ,46.15844669,-1.14101171,4,81
La Rochelle,Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,8.4,Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port is located in La Rochelle on the harbour. It offers free WiFi throughout the entire hotel. ,46.15619304,-1.15443483,4,81
